dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds,CI_0.05,CI_0.95
PigAirwayPressure,0.19086538,0.06056123,21.41,39.99,0.18037368217955044,0.20135707782044956
Phoneme,0.2693038,0.00794142,22.68,180.66,0.2679280191761086,0.2706795808238914
GestureMidAirD3,0.36615385,0.03647881,9.85,5.43,0.3598342185894492,0.3724734814105508
InlineSkate,0.434,0.030509,19.2,97.63,0.42871458540713103,0.43928541459286896
Haptics,0.53766234,0.01746419,17.58,31.66,0.5346368234416521,0.540687856558348
DodgerLoopDay,0.5575,0.07317217,3.01,2.57,0.5448235682877219,0.570176431712278
MiddlePhalanxTW,0.59415584,0.02528857,5.52,1.67,0.5897748187632899,0.5985368612367101
ScreenType,0.60906667,0.02643455,27.83,25.84,0.6044871178571594,0.6136462221428407
EthanolLevel,0.6292,0.01660522,87.15,83.6,0.6263232924020519,0.6320767075979481
GestureMidAirD2,0.62923077,0.04147193,8.72,4.75,0.6220461246816861,0.636415415318314
Herring,0.634375,0.02871677,3.89,3.5,0.6294000734138103,0.6393499265861897
SemgHandMovementCh2,0.65088889,0.0145325,75.69,72.78,0.6483712628220897,0.6534065171779104
InsectWingbeatSound,0.65914141,0.00871674,7.32,47.24,0.6576313118388593,0.6606515081611408
Ham_ternary,0.6942857142857143,0.0302521527128925,0.048585770005593,0.0390151800005696,0.6755352357733018,0.7130361927981268
Ham_normal,0.6961904761904762,0.0280750532818736,0.0486026199941989,0.0393253200018079,0.6787893778854203,0.7135915744955322
GestureMidAirD1,0.70076923,0.04028988,9.8,5.4,0.693789364396508,0.7077490956034921
Ham_binary,0.7038095238095238,0.0242623603863942,0.0484816000011051,0.0391040299931773,0.6887715570438854,0.7188474905751622
DistalPhalanxTW,0.70719424,0.01518575,5.63,1.5,0.7045634430334111,0.7098250369665888
MiddlePhalanxOutlineAgeGroup,0.71623377,0.04488929,5.68,1.64,0.7084570972663958,0.7240104427336042
Worms,0.72467532,0.05078053,16.79,6.9,0.7158780420067645,0.7334725979932355
RefrigerationDevices,0.72826667,0.02399835,27.45,25.32,0.7241091679745394,0.7324241720254606
AllGestureWiimoteZ,0.73571429,0.01803247,16.03,32.33,0.732590323954457,0.738838256045543
Earthquakes,0.74892086,0.00227502,17.2,6.98,0.748526732893013,0.7493149871069871
Crop,0.75154167,0.00294219,198.73,72.68,0.751031961587368,0.7520513784126321
Beef,0.75333333,0.08195151,2.23,1.63,0.7391359552298781,0.767530704770122
WordSynonyms,0.76238245,0.01273789,8.6,16.84,0.760175723142733,0.7645891768572671
Adiac,0.76751918,0.01945715,9.14,6.91,0.7641484007366468,0.7708899592633531
Lightning2,0.77377049,0.05824224,4.49,4.01,0.7636805367004038,0.7838604432995961
AllGestureWiimoteX,0.78042857,0.01256367,16.49,33.09,0.7782520252178704,0.7826051147821296
WormsTwoClass,0.78051948,0.03540797,16.69,6.87,0.7743853621547129,0.7866535978452872
UWaveGestureLibraryY,0.78333333,0.00963178,32.07,104.14,0.7816647092465403,0.7850019507534598
EOGVerticalSignal,0.78977901,0.01581276,57.36,54.88,0.7870395890928075,0.7925184309071924
Rock,0.794,0.0686699,6.38,13.97,0.7821035467714166,0.8058964532285835
Lightning7,0.79589041,0.03951817,3.13,2.62,0.7890442363331648,0.8027365836668353
UWaveGestureLibraryZ,0.79690117,0.00805717,31.85,104.52,0.7955053365116778,0.7982970034883223
AllGestureWiimoteY,0.80028571,0.01206182,16.03,32.29,0.7981961062947144,0.8023753137052857
PickupGestureWiimoteZ,0.802,0.04565572,2.48,2.11,0.7940905500430713,0.8099094499569288
DistalPhalanxOutlineAgeGroup,0.80215827,0.04590933,5.41,1.49,0.7942048843521309,0.810111655647869
ProximalPhalanxTW,0.80536585,0.02449301,5.55,2.06,0.8011226525016459,0.8096090474983542
ChlorineConcentration,0.808125,0.01448784,10.22,60.33,0.8056151097723573,0.8106348902276427
ACSF1,0.812,0.03521363,15.24,14.23,0.8058995498420175,0.8181004501579826
MedicalImages,0.81223684,0.01530758,5.93,7.68,0.8095849370627188,0.8148887429372811
SmallKitchenAppliances,0.82186667,0.01958785,27.98,25.86,0.8184732481168531,0.825260091883147
EOGHorizontalSignal,0.82265193,0.02138977,44.69,42.4,0.81894634140332,0.82635751859668
FiftyWords,0.82461538,0.00859363,14.26,11.78,0.823126609558238,0.826104150441762
DistalPhalanxOutlineCorrect,0.82463768,0.02051008,8.06,2.59,0.8210844899205838,0.8281908700794163
MiddlePhalanxOutlineCorrect,0.83264605,0.01265737,7.88,2.75,0.8304532725210482,0.8348388274789519
CricketY,0.83871795,0.01199325,13.45,11.4,0.836640225441151,0.8407956745588491
CricketX,0.83871795,0.01235331,13.52,11.49,0.8365778482285806,0.8408580517714195
Computers,0.8444,0.01106747,18.37,17.01,0.8424826586435432,0.8463173413564569
PhalangesOutlinesCorrect,0.845338,0.00998151,28.4,7.27,0.8436087916151671,0.847067208384833
ProximalPhalanxOutlineAgeGroup,0.84731707,0.02455769,5.51,2.06,0.8430626672633271,0.8515714727366729
CinCECGTorso,0.85586957,0.03537547,7.45,212.73,0.8497410824924579,0.861998057507542
UWaveGestureLibraryX,0.85714685,0.00618964,32.02,104.78,0.8560745495778097,0.8582191504221903
CricketZ,0.85820513,0.01760144,13.33,11.23,0.8551558360922512,0.8612544239077488
BirdChicken,0.86,0.06146363,1.71,1.14,0.8493519693555115,0.8706480306444885
DodgerLoopGame,0.86376812,0.021002,1.24,4.1,0.8601297091284724,0.8674065308715276
Ham,0.8647619,0.03136277,5.66,4.67,0.8593285773007704,0.8701952226992296
ArrowHead,0.86628571,0.0298993,1.71,4.47,0.8611059205432309,0.8714654994567691
PLAID,0.883054,0.01348005,80.83,77.3,0.8807187004823952,0.8853892995176048
PigCVP,0.88605769,0.02266934,21.16,39.29,0.8821304272104392,0.8899849527895608
ShakeGestureWiimoteZ,0.888,0.04022161,2.7,2.24,0.881031961570596,0.894968038429404
BeetleFly,0.89,0.06992059,1.78,1.18,0.8778868757832767,0.9021131242167233
OliveOil,0.89666667,0.0399073,2.33,1.95,0.8897530830000328,0.9035802569999672
PigArtPressure,0.89759615,0.0152117,21.03,39.21,0.8949608574252731,0.900231442574727
ElectricDevices,0.89789911,0.00321117,356.99,67.35,0.897342803179777,0.898455416820223
MoteStrain,0.89872204,0.03047217,0.78,10.66,0.8934430058791051,0.9040010741208949
ProximalPhalanxOutlineCorrect,0.89965636,0.01593817,8.29,2.73,0.8968952129187575,0.9024175070812426
Car,0.9,0.04374449,4.15,3.64,0.892421653747956,0.907578346252044
ECG200,0.905,0.02415229,2.01,1.33,0.9008158292301549,0.9091841707698451
MelbournePedestrian,0.90586306,0.00463947,12.44,6.62,0.9050593128289627,0.9066668071710374
Yoga,0.91666667,0.00650736,14.23,119.56,0.9155393273960126,0.9177940126039874
SemgHandSubjectCh2,0.92066667,0.01679539,66.41,63.94,0.9177570171303902,0.9235763228696099
ShapesAll,0.92216667,0.01328812,33.09,29.14,0.9198646206585009,0.924468719341499
SemgHandGenderCh2,0.9225,0.00920447,44.1,83.96,0.9209054069272141,0.9240945930727859
DiatomSizeReduction,0.92581699,0.09413744,1.2,10.42,0.9095085105640522,0.9421254694359477
FaceFour,0.92613636,0.04615931,1.44,3.21,0.9181396675266065,0.9341330524733935
LargeKitchenAppliances,0.9272,0.01460864,27.98,25.95,0.9246691822400613,0.9297308177599387
FordB,0.92728395,0.00836212,203.8,38.01,0.9258352866195115,0.9287326133804884
MixedShapesSmallTrain,0.92993814,0.01013171,11.32,236.03,0.9281829107927262,0.9316933692072737
ToeSegmentation2,0.93076923,0.02377851,1.95,4.48,0.9266498133114596,0.9348886466885404
InsectEPGSmallTrain,0.93333333,0.02878646,1.88,16.78,0.9283463302372729,0.9383203297627271
ToeSegmentation1,0.9377193,0.02044694,1.83,6.25,0.934177048367514,0.941261551632486
SonyAIBORobotSurface2,0.93840504,0.01256312,0.99,6.62,0.9362285905005092,0.9405814894994908
Wine,0.93888889,0.04864417,2.17,1.59,0.9304617174943132,0.9473160625056868
FordA,0.94106061,0.00503533,202.67,61.08,0.9401882835828145,0.9419329364171855
OSULeaf,0.94132231,0.01455109,9.61,10.2,0.9388014622688994,0.9438431577311006
PowerCons,0.94611111,0.01852778,4.36,3.17,0.9429013358748086,0.9493208841251914
HandOutlines,0.94648649,0.00843197,258.77,93.8,0.9450257257243884,0.9479472542756116
ECG5000,0.94691111,0.00197224,9.89,59.45,0.9465694368518588,0.9472527831481411
SonyAIBORobotSurface1,0.95174709,0.02123593,0.68,4.51,0.9480681528235884,0.9554260271764117
NonInvasiveFetalECGThorax1,0.95450382,0.00327357,139.41,136.3,0.9539367029313063,0.9550709370686937
ItalyPowerDemand,0.96005831,0.01081636,1.26,3.24,0.95818447123158,0.9619321487684199
GesturePebbleZ2,0.96012658,0.01401009,7.38,7.11,0.9576994557372117,0.9625537042627882
Mallat,0.96298507,0.007267,6.63,221.99,0.9617261264801737,0.9642440135198262
MixedShapesRegularTrain,0.96354639,0.00270899,58.3,265.28,0.9630770814262042,0.9640156985737958
SwedishLeaf,0.96576,0.00636435,9.22,8.08,0.964657432614503,0.9668625673854969
NonInvasiveFetalECGThorax2,0.96585242,0.00330201,140.54,136.93,0.9652803759526764,0.9664244640473237
HouseTwenty,0.96638655,0.01534237,8.62,22.59,0.9637286200027141,0.9690444799972858
Symbols,0.96673367,0.01475901,2.37,37.29,0.9641768019666229,0.9692905380333771
Chinatown,0.96676385,0.0077988,0.78,1.33,0.9654127768305462,0.9681149231694538
GesturePebbleZ1,0.96686047,0.01819023,7.7,8.64,0.963709173428836,0.970011766571164
FacesUCR,0.97258537,0.00645018,4.42,25.9,0.9714679333256209,0.9737028066743791
SmoothSubspace,0.974,0.01063421,1.43,0.53,0.9721577171091274,0.9758422828908726
UWaveGestureLibraryAll,0.97735902,0.00258041,84.94,313.89,0.9769119867747358,0.9778060532252641
Fish,0.97771429,0.01358938,8.89,7.88,0.9753600500262204,0.9800685299737796
DodgerLoopWeekend,0.97826087,0.01080226,1.25,4.09,0.9763894739319556,0.9801322660680443
Strawberry,0.97864865,0.00849431,16.97,8.6,0.9771770858703873,0.9801202141296127
StarLightCurves,0.98074308,0.0007873,99.94,766.78,0.9806066872336371,0.9808794727663629
InsectEPGRegularTrain,0.9875502,0.01317775,5.8,18.33,0.9852672712854837,0.9898331287145163
UMD,0.98819444,0.00468714,1.07,2.24,0.9873824344227992,0.9890064455772009
FaceAll,0.98934911,0.00231703,10.09,21.38,0.9889477050318229,0.9897505149681771
GunPointOldVersusYoung,0.99079365,0.00408471,3.5,5.51,0.9900860100956558,0.9915012899043442
GunPointAgeSpan,0.99113924,0.00646823,3.0,4.94,0.9900186763226578,0.9922598036773421
FreezerSmallTrain,0.99252632,0.00292187,2.03,80.15,0.9920201318477673,0.9930325081522327
Meat,0.99333333,0.01165343,3.45,2.91,0.9913144762526147,0.9953521837473853
GunPoint,0.99333333,0.00993808,1.6,2.55,0.9916116454788063,0.9950550145211937
FreezerRegularTrain,0.99382456,0.00565821,5.89,78.21,0.9928443251282074,0.9948047948717925
BME,0.996,0.01051748,1.09,2.22,0.9941779395498965,0.9978220604501035
CBF,0.99666667,0.00465548,1.26,11.43,0.9958601492379687,0.9974731907620312
SyntheticControl,0.997,0.00366835,3.62,2.24,0.9963644907856124,0.9976355092143876
ECGFiveDays,0.99756098,0.00356722,1.24,11.42,0.9969429906642638,0.9981789693357362
TwoLeadECG,0.99877085,0.00084819,0.84,9.65,0.99862390857932,0.9989177914206799
Wafer,0.99891304,0.00067564,20.7,88.0,0.998795991341718,0.999030088658282
ShapeletSim,0.99944444,0.00175682,1.54,8.79,0.9991400864628456,0.9997487935371544
Trace,1.0,0.0,3.57,2.96,1.0,1.0
TwoPatterns,1.0,0.0,18.84,47.91,1.0,1.0
Plane,1.0,0.0,2.51,1.82,1.0,1.0
Fungi,1.0,0.0,1.01,3.93,1.0,1.0
Coffee,1.0,0.0,1.63,1.06,1.0,1.0
GunPointMaleVersusFemale,1.0,0.0,3.11,4.84,1.0,1.0
